Country,EF2013,EF2009,GDP2013,GDP2009,EFDelta,GDPDelta,DDelta,EFDelta_P,GDPDelta_P,DDelta_P,DDelta_Rank,EFDelta_Rank,GDPDelta_Rank,Dec_Flag,GDP_std,Continent
Afghanistan,27270736.49,20868574.02,19731337261.00,14697331941.00,6402162.477,5034005320,-74309901965,30.67848561,34.25115075,3.572665143,102,149,140,0,28.05540003,Asia
Albania,6616186.328,6815357.258,12542465022.00,11500292411.00,-199170.9308,1042172611,-72711582561,-2.922384305,9.062140107,11.98452441,62,34,47,1,26.92948582,Europe
Algeria,90957355.07,76216524.22,176325000000.00,155605000000.00,14740830.85,20720000000,-48615528906,19.34072827,13.31576749,-6.024960782,135,128,69,0,52.58094793,Europe
Angola,22957308.4,17607132.67,96261432368.00,79753199398.00,5350175.726,16508232970,-11867555518,30.38641115,20.69914824,-9.687262912,142,148,101,0,40.04146946,Africa
Argentina,158699622.3,119344051.8,457639000000.00,385956000000.00,39355570.57,71683000000,-3120507041,32.97656648,18.5728425,-14.40372398,146,151,93,0,96.64007434,South America
Armenia,6193203.331,5844214.273,10736584306.00,9060944166.00,348989.0577,1675640140,-1871586872,5.97153084,18.49299708,12.52146624,58,71,92,0,26.64665053,Asia
Australia,204837815.4,216496001.6,1241480000000.00,1119650000000.00,-11658186.12,1.2183E+11,-911821750.5,-5.384942925,10.88107891,16.26602183,44,26,56,1,219.4044931,Oceania
Austria,51883277.75,49630216.91,404687000000.00,382851000000.00,2253060.836,21836000000,-715839110.5,4.539695725,5.703524348,1.163828623,115,68,33,0,88.34678335,Europe
Azerbaijan,21861065.99,18768195.38,57238335961.00,50453518393.00,3092870.612,6784817568,-575097907,16.47931807,13.44765991,-3.031658152,131,116,70,0,33.92970987,Asia
Bangladesh,117772778.8,100248357.3,138597000000.00,109195000000.00,17524421.56,29402000000,-35751144.26,17.48100621,26.92614131,9.445135094,72,119,119,0,46.67202509,Asia
Barbados,949884.1333,1207194.631,4490584971.00,4435485769.00,-257310.4973,55099202,685562.83,-21.31474833,1.242236023,22.55698435,25,3,14,1,25.66840816,North America
Belarus,43935430.5,42138099.46,59927867090.00,51253510501.00,1797331.046,8674356589,10994657.79,4.265334861,16.92441455,12.65907969,57,66,82,0,34.35094163,Europe
Belgium,76842363.5,77768005.22,492609000000.00,470887000000.00,-925641.7131,21722000000,14015668.93,-1.190260327,4.612996324,5.803256651,91,41,28,1,102.1170419,Europe
Benin,13565077.1,11461191.39,8063036668.00,6825749998.00,2103885.713,1237286670,14393084.15,18.35660571,18.12675047,-0.229855242,120,125,88,0,26.22792209,Africa
Bermuda,368749.6972,366116.1965,5151445060.00,5867281537.00,2633.500703,-715836477,30395011.92,0.719307348,-12.20047943,-12.91978678,145,50,3,0,25.77191143,Europe
Bhutan,3479548.254,2849623.009,1835844374.00,1419010481.00,629925.2454,416833893,37727277.86,22.10556426,29.37496929,7.26940503,86,134,122,0,25.25262526,Asia
Bolivia,31830193.99,27629934.51,23208056518.00,18870603598.00,4200259.481,4337452920,40951965.33,15.20184378,22.98523679,7.783393005,83,107,109,0,28.59992044,Europe
Bosnia and Herzegovina,12291774.03,12310976.72,17568163123.00,17032435469.00,-19202.69346,535727654,55356512.5,-0.15598026,3.145337935,3.301318194,103,44,23,1,27.71660579,Europe
Botswana,6679456.868,6653148.268,15560888960.00,11778027472.00,26308.59982,3782861488,61106734.53,0.395430836,32.11795436,31.72252352,12,46,134,0,27.40222846,Africa
Brazil,615872753.1,531817637.6,2409740000000.00,2054210000000.00,84055115.5,3.5553E+11,105783367.3,15.80525157,17.30738337,1.502131807,113,110,84,0,402.3762436,South America
Bulgaria,22680547.28,26116832.58,52039981143.00,50582434410.00,-3436285.299,1457546733,116903184.6,-13.15735853,2.881527451,16.03888598,45,9,20,1,33.11554857,South America
Burkina Faso,20326395.76,17479473.33,10785180292.00,8288546127.00,2846922.426,2496634165,122401296.6,16.2872323,30.1214969,13.83426461,50,115,126,0,26.65426159,Africa
Burundi,6613951.149,7250208.062,2297622744.00,1952928500.00,-636256.913,344694244,206501699.8,-8.775705574,17.65012104,26.42582661,18,17,86,1,25.32494854,Africa
Cabo Verde,1118118.841,903479.4737,1762867521.00,1640251585.00,214639.3677,122615936,254676103.5,23.75697224,7.475434691,-16.28153754,147,141,39,0,25.24119569,Africa
Cambodia,18294262.51,15182321.98,13876856310.00,10609615491.00,3111940.53,3267240819,256739192.8,20.49713168,30.7950917,10.29796001,70,129,129,0,27.13847689,Asia
Cameroon,25769697.92,22486657.78,27160443493.00,22874787500.00,3283040.149,4285655993,264146065.7,14.59994714,18.73528221,4.135335069,98,105,94,0,29.21893946,Africa
Canada,308461755.4,276879206.5,1730690000000.00,1565140000000.00,31582548.9,1.6555E+11,345330500.9,11.40661637,10.57732855,-0.829287825,123,94,54,0,296.0240898,North America
Central African Republic,5381556.355,5526940.403,1352053851.00,1927297142.00,-145384.048,-575243291,416203967.8,-2.630461655,-29.84715115,-27.21668949,150,35,1,0,25.17685446,Africa
Chad,18068927.95,16822435.44,12275999076.00,9385905830.00,1246492.504,2890093246,423112430.4,7.409703003,30.79184149,23.38213849,22,76,128,0,26.88775218,Africa
Chile,76455632.57,62460474.59,252462000000.00,205703000000.00,13995157.98,46759000000,434689685.9,22.40642274,22.73131651,0.324893771,119,135,107,0,64.50545118,South America
