country,year,EFtype,Value
Brazil,2009,crop_land,0.899381 
Brazil,2009,grazing_land,1.019185 
Brazil,2009,forest_land,0.651477 
Brazil,2009,fishing_ground,0.034739 
Brazil,2009,built_up_land,0.079298 
Brazil,2009,carbon,0.655429 
Brazil,2013,crop_land,1.013437 
Brazil,2013,grazing_land,0.978690 
Brazil,2013,forest_land,0.720501 
Brazil,2013,fishing_ground,0.031642 
Brazil,2013,built_up_land,0.086937 
Brazil,2013,carbon,0.854729 
India,2009,crop_land,0.306246 
India,2009,grazing_land,0.003515 
India,2009,forest_land,0.127188 
India,2009,fishing_ground,0.018532 
India,2009,built_up_land,0.041019 
India,2009,carbon,0.436491 
India,2013,crop_land,0.334211 
India,2013,grazing_land,0.003300 
India,2013,forest_land,0.120537 
India,2013,fishing_ground,0.020134 
India,2013,built_up_land,0.047096 
India,2013,carbon,0.501423 
Japan,2009,crop_land,0.144907 
Japan,2009,grazing_land,0.000026 
Japan,2009,forest_land,0.093722 
Japan,2009,fishing_ground,0.248379 
Japan,2009,built_up_land,0.090718 
Japan,2009,carbon,3.145725 
Japan,2013,crop_land,0.153648 
Japan,2013,grazing_land,0.000030 
Japan,2013,forest_land,0.118223 
Japan,2013,fishing_ground,0.221434 
Japan,2013,built_up_land,0.097485 
Japan,2013,carbon,3.596517 
Russian,2009,crop_land,1.001914 
Russian,2009,grazing_land,0.019584 
Russian,2009,forest_land,0.766136 
Russian,2009,fishing_ground,0.221327 
Russian,2009,built_up_land,0.038815 
Russian,2009,carbon,3.760288 
Russian,2013,crop_land,0.950802 
Russian,2013,grazing_land,0.021618 
Russian,2013,forest_land,0.933222 
Russian,2013,fishing_ground,0.258483 
Russian,2013,built_up_land,0.036781 
Russian,2013,carbon,3.950422 
China,2009,crop_land,0.429392 
China,2009,grazing_land,0.107278 
China,2009,forest_land,0.132297 
China,2009,fishing_ground,0.074139 
China,2009,built_up_land,0.106672 
China,2009,carbon,2.133369 
China,2013,crop_land,0.441681 
China,2013,grazing_land,0.104562 
China,2013,forest_land,0.135751 
China,2013,fishing_ground,0.076940 
China,2013,built_up_land,0.112080 
China,2013,carbon,2.614818 
